time,satellite,brdc_x_km,brdc_y_km,brdc_z_km,sp3_x_km,sp3_y_km,sp3_z_km,dx_km,dy_km,dz_km,position_error_km,brdc_radius_km,sp3_radius_km,radius_difference_km
2022-07-04 09:45:00,R07,1683.56591797,25117.0620117,4225.3515625,-7379.737267,8318.836474,22998.987541,9063.30318497,16798.2255377,-18773.6359785,26772.62134516068,25525.571377080956,25546.369415675774,-20.798038594817626
2022-07-04 09:45:00,R14,7052.89208984,16558.0678711,18102.7055664,20618.434659,-8640.440628,12280.534947,-13565.54256916,25198.5084991,5822.1706194,29204.219669361337,25526.86520665339,25506.63836372668,20.22684292670965
2022-07-04 09:45:00,R15,19003.7617188,16749.5981445,3053.49755859,4493.179338,-11383.661339,22403.472875,14510.5823808,28133.259483499998,-19349.97531641,37100.65814701408,25515.012145940305,25528.25890861604,-13.246762675735226
2022-07-04 10:15:00,R01,10859.53125,4960.46337891,22536.9311523,15115.540513,19374.28081,6817.686714,-4256.009263,-14413.81743109,15719.2444383,21747.790542824372,25503.899342389665,25501.434744639973,2.4645977496911655
2022-07-04 10:15:00,R08,6168.75976562,20586.6386719,13701.9125977,2421.987544,15953.861167,19822.163386,3746.7722216199995,4632.777504900001,-6120.2507883,8541.568895835091,25487.36349033204,25559.927055852113,-72.56356552007128
2022-07-04 10:15:00,R14,3078.82861328,13737.824707,21292.5317383,22854.522566,-9286.340435,6463.010697,-19775.69395272,23024.165141999998,14829.5210413,33780.244909001085,25526.043977411075,25501.68283984521,24.361137565865647
2022-07-04 10:15:00,R15,17891.4262695,15695.6796875,9210.78222656,9638.106706,-12452.261491,20089.415668,8253.3195635,28147.941178499997,-10878.63344144,31285.27676014333,25520.501641516934,25525.213789470356,-4.712147953421663
2022-07-04 10:45:00,R01,11342.9658203,10261.8725586,20405.5742188,13436.777408,17635.060872,12603.88644,-2093.8115877,-7373.188313399998,7801.6877788,10936.83158266243,25502.085428615384,25502.94713290408,-0.8617042886944546
2022-07-04 10:45:00,R08,6556.65722656,23285.7944336,8070.84277344,-1356.381652,12387.582748,22318.953928,7913.03887856,10898.2116856,-14248.11115456,19606.016263138405,25502.08774716429,25562.231552910558,-60.14380574626921
2022-07-04 10:45:00,R14,1781.62451172,11253.5039062,22839.7358398,23556.203695,-9756.509386,145.377541,-21774.57918328,21010.013292199998,22694.358298799998,37823.09949940199,25523.892126779272,25497.16342162133,26.728705157940567
2022-07-04 10:45:00,R15,15356.2207031,14173.449707,14656.8920898,13854.394555,-14003.891542,16225.368565,1501.826148099999,28177.341248999997,-1568.476475200001,28260.894538124045,25524.981422348133,25520.889715599707,4.091706748426077
2022-07-04 11:15:00,R01,12428.5136719,14733.5947266,16695.6118164,10424.078507,15445.26427,17414.961418,2004.4351649,-711.6695433999994,-719.349601599999,2245.3725122154965,25500.78860710421,25504.8717362128,-4.083129108592402
2022-07-04 11:15:00,R08,7057.24902344,24454.6313477,1815.09472656,-5947.278457,9181.491826,23101.220175,13004.52748044,15273.1395217,-21286.125448439998,29248.68650803927,25517.216286208462,25560.443790549256,-43.22750434079353
2022-07-04 11:15:00,R15,11488.9199219,12639.4082031,18971.9829102,16809.581365,-15655.003014,11108.722249,-5320.661443099998,28294.4112171,7863.2606612,29844.832258540522,25528.142436169208,25515.58063302366,12.561803145548765
2022-07-04 11:45:00,R01,13780.0283203,17989.4746094,11693.7265625,6203.418324,13273.719105,20879.128216,7576.6099963,4715.7555044,-9185.401653500001,12806.833041366335,25500.070944000046,25507.097303322233,-7.026359322186181
2022-07-04 11:45:00,R02,11505.4311523,96.1088867188,22727.2866211,21420.578342,12509.412,6123.201193,-9915.147189700001,-12413.303113281201,16604.0854281,22980.337048861038,25473.7853503568,25550.3455542476,-76.56020389080004
