time,satellite,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mod_x_km,mod_y_km,mod_z_km,real_radius_km,modified_radius_km,position_error_km,radius_error_km,inertia_factor
2022-07-04 04:50:00,R01,17297.731977,-16243.936422,-9378.00245,-0.8358783266666675,0.8949745766666638,-3.286052229999999,17327.35435557257,-16247.20724016117,-9405.600516458466,25515.17062420537,25547.490544934724,40.61818356335027,32.319920729354635,0.999
2022-07-04 04:55:00,R01,17030.482626,-15936.801112,-10343.563816,-0.8908311699999952,1.0237843666666715,-3.2185378866666663,17059.837487704703,-15939.764487408414,-10372.12841035236,25514.8639144636,25547.90000727613,41.0661119419433,33.036092812530114,0.999
2022-07-04 05:00:00,R01,16748.890415,-15590.863968,-11286.785001,-0.9386407033333307,1.1531238133333317,-3.1440706166666677,16777.963402619618,-15593.481059980988,-11316.29376070271,25514.542619086045,25548.2917625846,41.507284646910286,33.74914349855317,0.999
2022-07-04 05:05:00,R01,16455.125914,-15206.125725,-12205.628263,-0.9792150033333382,1.2824608099999992,-3.0628108733333343,16483.904843060056,-15208.357693614622,-12236.056785727736,25514.20760487469,25548.666271951253,41.941667076223,34.45866707656387,0.999
2022-07-04 05:10:00,R01,16151.376615,-14782.747706,-13098.10842,-1.0124976633333367,1.4112600633333325,-2.9749338566666665,16179.851490707702,-14784.5558727938,-13129.430316258267,25513.859772305954,25549.02399401197,42.36920106559691,35.164221706018,0.999
2022-07-04 05:15:00,R01,15839.836219,-14321.052087,-13962.297112,-1.0384679866666617,1.538985396666667,-2.8806289733333323,15867.999242459455,-14322.398096017023,-13994.484062004012,25513.500053247786,25549.36538039977,42.78980464097069,35.865327151983365,0.999
2022-07-04 05:20:00,R01,15522.693927,-13821.521381,-14796.326981,-1.0571409733333348,1.6651023533333318,-2.780099563333333,15550.539490707702,-13822.367359280286,-14829.348795737746,25513.129407531163,25549.690870392256,43.2033719288715,36.56146286109288,0.999
2022-07-04 05:25:00,R01,15202.123767,-13284.797211,-15598.395702,-1.0685672000000037,1.7890805666666711,-2.673562403333332,15229.64843965665,-13285.105927848854,-15632.220388330337,25512.748821731297,25550.000888043658,43.60977317407514,37.25206631236142,0.999
2022-07-04 05:30:00,R01,14880.27402,-12711.678346,-16366.769863,-1.0728324899999946,1.910396216666662,-2.5612472033333322,14907.476520737733,-12711.413370291297,-16401.36369263464,25512.359299579828,25550.295831258805,44.008854873799166,37.93653167897719,0.999
2022-07-04 05:35:00,R01,14559.256794,-12103.118,-17099.788725,-1.0700574199999997,2.0285344866666675,-2.4433962066666632,14586.137956173168,-12102.243854775781,-17135.116307249253,25511.961864098106,25550.576072956417,44.40044005672663,38.61420885831103,0.999
2022-07-04 05:40:00,R01,14241.137783,-11460.220445,-17795.867797,-1.0603967033333357,2.1429918499999987,-2.3202635733333348,14267.70050772472,-11458.702758679685,-17831.892155097103,25511.557550465,25550.84195326869,44.784328652738026,39.28440280368886,0.999
2022-07-04 05:45:00,R01,13927.926279,-10784.236897,-18453.502268,-1.0440383466666694,2.2532784933333336,-2.1921149033333376,13954.17547869569,-10782.042550471477,-18490.18491886087,25511.14740341869,25551.093776667945,45.16029800091944,39.946373249254975,0.999
2022-07-04 05:50:00,R01,13621.565463,-10076.560759,-19071.270249,-1.0212027199999951,2.3589204600000024,-2.0592266033333364,13647.507995212209,-10073.658027948954,-19108.571286228238,25510.73247288297,25551.33180764376,45.52810344653588,40.59933476079095,0.999
2022-07-04 05:55:00,R01,13323.923036,-9338.722171,-19647.835859,-0.9921414233333355,2.459461960000002,-1.9218853666666595,13349.56762784484,-9335.080862783787,-19685.71403898099,25510.313812232584,25551.556269426103,45.88747906658523,41.24245719351893,0.999
2022-07-04 06:00:00,R01,13036.782226,-8572.381964,-20181.952098,-0.957136033333336,2.5544673566666645,-1.7803874633333423,13062.139389606602,-8567.973548469474,-20220.364928870884,25509.892469997372,25551.767336477853,46.23813847006395,41.874866480480705,0.999
2022-07-04 06:05:00,R01,12761.833216,-7779.324979,-20672.463559,-0.9164966999999948,2.6435232833333338,-1.6350382033333275,12786.91515537237,-7774.122712633638,-20711.367392334345,25509.46949193725,25551.9651377742,46.57977572007254,42.49564583695246,0.999
2022-07-04 06:10:00,R01,12500.66503,-6961.452835,-21118.308922,-0.8705606200000027,2.72624048,-1.4861512100000012,12525.485539756753,-6955.431877798803,-21157.659046989,25509.045914953764,25552.14975226137,46.91206632470615,43.103837307608046,0.999
2022-07-04 06:15:00,R01,12254.75792,-6120.776152,-21518.523249,-0.8196903666666671,2.802255609999999,-1.3340477566666717,12279.33227649349,-6113.913676597602,-21558.273988930945,25508.62276169469,25552.32120538638,47.23466831443951,43.698443691690045,0.999
2022-07-04 06:20:00,R01,12025.476288,-5259.406253,-21872.240084,-0.7642721066666672,2.8712329966666674,-1.1790561166666642,12049.821133350346,-5251.68154546647,-21912.34489483685,25508.20104161566,25552.479472470226,47.547223408630835,44.27843085456698,0.999
2022-07-04 06:25:00,R01,11814.062171,-4379.546428,-22178.693326,-0.7047137233333342,2.9328660833333347,-1.0215108066666654,11838.195390607603,-4370.9409799009045,-22219.10489683885,25507.781744871852,25552.62447524145,47.84935823266973,44.84273036959712,0.999
2022-07-04 06:30:00,R01,11621.629327,-3483.482738,-22437.218899,-0.6414428133333301,2.986878966666665,-0.8617519099999966,11645.569921138134,-3473.9803292502543,-22477.889254196205,25507.365840513074,25552.756083053824,48.140685615387845,45.39024254075048,0.999
2022-07-04 06:35:00,R01,11449.157948,-2573.574469,-22647.256192,-0.5749045966666684,3.0330275633333335,-0.7001243100000041,11472.92589811511,-2563.1612411621663,-22688.136794736747,25506.95427313545,25552.874112876692,48.420805928822546,45.91983974124378,0.999
2022-07-04 06:40:00,R01,11297.490016,-1652.244207,-22808.349289,-0.5055597733333344,3.071100873333334,-0.5369769900000029,11321.106146363358,-1640.9087266476517,-22849.3911460881,25506.547960674954,25552.978330780617,48.68930849167411,46.430370105663314,0.999
2022-07-04 06:45:00,R01,11167.32534,-721.967658,-22920.147965,-0.4338822533333344,3.10092183,-0.3726622533333284,11190.811175392386,-709.700969890895,-22961.301732674685,25506.147793935834,25553.06845544935,48.94577300509474,46.92066151351537,0.999
2022-07-04 06:50:00,R01,11059.21828,214.736819,-22982.408457,-0.3603568666666676,3.1223482566666667,-0.2075349733333375,11082.59590011711,227.94114922822428,-23023.6245474895,25505.754632053246,25553.144157942,49.18977103376816,47.38952588875327,0.999
2022-07-04 06:55:00,R01,10973.575174,1155.318856,-22994.994008,-0.28547701999999847,3.135273456666667,-0.041951836666667075,10996.867065282277,1169.464709788785,-23036.222696638648,25505.369301118033,25553.205064884933,49.42086751344563,47.83576376689962,0.999
2022-07-04 07:00:00,R01,10910.652488,2097.206871,-22957.87518,-0.20974228666666628,3.139626716666666,0.12372942666667465,10933.881393610605,2112.2955556346305,-22999.06671265466,25504.99259270879,25553.250761831412,49.638622284566615,48.25816912262235,0.999
2022-07-04 07:05:00,R01,10870.55569,3037.818989,-22871.129938,-0.13365599333333497,3.135373726666667,0.2891508066666696,10893.74445867567,3053.849227306302,-22912.234638580587,25504.625264061422,25553.280798508404,49.84259165282689,48.65553444698162,0.999
2022-07-04 07:10:00,R01,10853.238858,3974.57398,-22734.943501,-0.05772277333332871,3.1225166366666675,0.45395478999998884,10876.410292509505,3991.541910989986,-22775.91187882083,25504.26803546725,25553.294691487594,50.0323299535332,49.0266560203454,0.999
